user_id,gasto_total,porcentaje_recomendacion,items_count
76561198007825785,1098.3100000000004,47%,98
SwinburnCyphenMisslemike,1901.8900000000008,100%,136
modsmaps,1359.8200000000008,67%,174
mrhiago223,1157.0300000000009,0%,142
Mister_Mad,1403.1100000000006,100%,128
MisTletain,1269.3100000000004,0%,119
MistPony,3407.37999999998,17%,333
34324132,556.7,29%,41
vaghino,9.99,0%,24
76561198063378113,2289.6699999999983,0%,159
76561198048927794,324.7900000000001,0%,45
mj10991,154.89,100%,18
76561198071738809,191.88,41%,106
76561198101552611,1261.1400000000003,0%,137
fishymatt,437.7300000000001,67%,43
pimpin-au,3131.3799999999887,27%,275
xxmobpsycho100xx,990.4100000000004,100%,109
Corber,1226.6100000000006,0%,124
76561198015817362,500.6700000000001,0%,45
76561198201849275,548.5700000000002,59%,114
76561198079887518,863.6000000000003,0%,61
76561198065036020,374.7700000000001,100%,45
76561198066621462,898.4400000000004,0%,104
MoistToaster,761.4800000000002,50%,74
76561198039866603,264.73,100%,33
76561197999306529,1198.2700000000004,100%,105
76561198064428104,288.7900000000001,0%,64
76561198041993727,1977.8600000000008,57%,164
76561198011714432,2668.4099999999944,100%,204
76561198022269929,1998.9700000000007,0%,159
76561198069491539,736.6000000000003,0%,93
Mineturdle321,164.86,0%,57
76561198121597064,829.5900000000001,50%,54
jrand63,967.3700000000003,50%,84
76561198058988942,1067.6900000000005,40%,180
135781,903.4500000000004,73%,63
76561198061315848,204.87,0%,66
76561198004722159,228.85,100%,23
MonsterJnr,2090.71,0%,163
76561198073136050,294.88,0%,36
76561198050315162,1182.2700000000004,0%,106
76561198071835052,299.7500000000001,0%,36
76561198020940001,4458.499999999977,100%,325
76561198121708357,144.89,0%,23
fktm0903,210.88,67%,66
76561198061407062,2550.1199999999853,0%,342
MOOONSHINEBANDIT,713.6800000000002,33%,55
SnowDonut,1613.1500000000003,0%,137
76561198089439104,227.75000000000009,0%,71
76561197994453774,747.5100000000003,0%,74
76561198080824028,1114.3900000000003,0%,123
Morpster,694.6100000000001,25%,51
76561198025012864,204.89,100%,17
MortemSpiritus,2213.6599999999994,0%,176
willsons,1703.9500000000007,100%,143
76561198062515608,134.94000000000003,0%,12
76561198072468194,252.84000000000003,33%,50
QWHDJIJEKXMSWKWS,17.98,0%,4
76561198038398765,1402.9900000000007,100%,174
76561198069066487,2273.74,0%,158
76561198095856407,865.4300000000003,0%,86
chengy85,1070.4000000000003,0%,76
SirBumper,79.96,0%,9
76561198043509581,1838.3100000000009,0%,150
76561198074739824,194.93,71%,34
76561198045791984,1775.0500000000006,100%,139
76561198045848404,1454.2100000000005,47%,125
76561197994597483,858.5300000000003,39%,72
themlgayylamo,501.4800000000003,60%,100
Mutro,2492.359999999997,84%,201
19365,1391.1700000000003,0%,103
76561198078697048,253.82000000000005,0%,39
76561198099277641,85.94,100%,12
76561198083619343,1402.2900000000004,54%,122
76561198326496279,34.98,0%,2
BIG_FAT_BOOBS,197.86,0%,63
76561198091152373,134.94,96%,25
FrostyXIX,617.2400000000005,100%,121
vaughan,2807.8399999999942,0%,202
76561198070487821,392.7800000000001,100%,36
Red227,384.8200000000001,0%,40
mrsaucepons,527.6300000000002,0%,63
luka_mrsnik,254.87000000000003,75%,19
76561198090461345,689.6100000000001,40%,127
76561198054390361,617.6800000000002,40%,51
76561198053085687,180.87,33%,36
IDUNNOM9,1457.1400000000006,44%,133
76561198160366485,14.99,0%,32
76561198015462171,605.7200000000001,0%,131
76561198026599584,1526.0400000000009,71%,222
76561198059302821,314.82000000000005,0%,39
76561198076452843,34.97,50%,9
76561198062753399,622.7600000000001,0%,51
Mrfotofy,910.4200000000004,0%,77
76561198045693878,24.98,0%,7
hl3confirmed-manaos-illuminati,307.7200000000001,100%,77
76561198081653217,289.83000000000004,0%,44
Blaze_It_Fgts,723.4500000000003,0%,123
76561198066497518,1000.3300000000004,0%,104
76561198067960427,776.5600000000002,50%,97
76561198093777811,0.0,57%,51
whiteruby3,492.68000000000006,59%,39
76561198074009738,14.99,100%,1
76561198079301175,409.80000000000007,0%,38
76561198073085657,542.7800000000001,12%,47
76561198074035899,628.6100000000001,100%,57
54678907652,685.5000000000002,0%,71
Wasabiforgaming,2449.749999999998,11%,205
MrLunarFish,1721.8100000000009,100%,177
mrmaveric,2038.690000000001,0%,164
76561198066189878,894.5000000000003,0%,69
MrPickle255,399.6000000000002,0%,54
76561198039986717,564.7300000000001,50%,38
76561198058370635,2315.0199999999973,100%,214
76561197993929985,5204.279999999961,50%,491
killergrimes,448.7500000000001,100%,45
IsThatMRDerpy,2093.7800000000007,0%,184
76561198068239282,1604.0300000000009,0%,133
76561198092547722,2700.4099999999926,100%,189
76561198061207612,799.6200000000002,57%,85
76561198025024573,491.7500000000001,67%,38
76561198230825580,34.98,60%,15
MuddyHikoku,1133.3600000000004,36%,105
sharks003,275.82,33%,24
76561198021622091,1651.0300000000009,0%,129
76561198092005436,770.6100000000002,100%,67
MungySpap,751.6100000000002,0%,80
76561198004054009,2103.8000000000006,0%,153
76561198063051828,1481.2200000000005,33%,142
76561198072333280,564.7600000000001,0%,36
76561198073337676,74.98,75%,4
error404olofmeister,98.9,71%,41
lucassakae,851.4400000000004,43%,86
76561198073182293,835.6200000000002,0%,55
mwanan,754.4700000000003,30%,89
76561198086665451,143.86999999999998,84%,28
archiegaming,94.93999999999998,0%,22
15832789427,1060.5000000000002,25%,102
Mysterise,1417.2700000000004,60%,104
Mystic_Fire,1763.8600000000008,0%,144
76561198007041072,2843.379999999993,100%,208
nutinme,2712.209999999992,100%,233
76561198295350017,375.6900000000001,0%,41
OMGitsaBIKDeek,421.6500000000002,57%,52
The_Muffin,710.5800000000002,67%,56
76561198162782680,19.99,100%,36
n3kogamer,14.98,100%,28
LICK_LICK_LICK_MY_BALLS,1036.9800000000007,0%,161
76561198006124408,434.70000000000016,100%,48
76561198062268488,124.93,0%,13
Natty22,55.95,43%,12
76561197995457966,604.5300000000002,0%,56
76561198070818913,54.96,42%,29
76561198082511650,219.87000000000003,100%,25
GussyPlays,229.94,62%,13
mrkienose,0.0,0%,5
76561198102792703,80.92999999999999,33%,30
76561198051767433,265.85,50%,19
Namnahc,310.85,50%,27
K0DI,1083.4200000000003,0%,85
Thundawich,2959.3899999999926,100%,210
nanonator102,1653.8700000000008,50%,181
76561198008064087,1271.2900000000004,64%,96
narasha,784.5200000000012,0%,258
rage-of-the-dragon,2921.479999999988,29%,335
76561198065275573,449.70000000000016,0%,62
AtomicNarwhal,479.7700000000001,0%,42
76561198101278301,174.91,80%,21
julius13,280.79,0%,55
76561198060420892,4081.089999999964,67%,443
Gamernaut,1073.1000000000004,69%,136
76561198051379013,1552.1400000000006,0%,145
Naxishere,517.7900000000001,0%,69
JebusC,533.7200000000001,16%,43
nazcawilde,1559.0500000000006,79%,134
GermanPenguin,4127.909999999979,50%,320
76561198039741155,876.4600000000003,0%,76
Willarcher25,2095.76,65%,189
666NeCrO,6373.679999999945,57%,505
76561198085068145,821.5700000000002,0%,71
76561198043931522,414.6600000000002,67%,46
x877,1993.8000000000009,0%,149
76561198068479373,532.6800000000002,100%,65
76561198044827248,506.72000000000014,50%,60
76561198082678599,312.80000000000007,86%,57
76561198053302202,1874.690000000001,100%,158
3265899423,432.71000000000015,100%,66
76561198068457990,190.86,100%,43
NekoDTV,484.6100000000002,69%,61
STEAM_NEKO,858.2000000000006,73%,110
76561198084100863,290.81000000000006,20%,36
luzdamanha,182.84000000000003,100%,47
NemesisAE,1316.2100000000005,0%,108
76561198044042926,275.83000000000004,44%,32
neochuah94,1032.9100000000003,100%,70
neonlove908,1879.9300000000007,0%,203
ewrwerewrewrew,1042.1700000000003,50%,116
NEON_NINJA,537.7400000000001,77%,45
76561198071391847,289.88000000000005,53%,34
76561198001688490,4771.369999999958,66%,452
FabulouslyNeps,209.86,0%,36
76561198195032085,344.87,0%,27
76561198060005945,1705.010000000001,76%,132
76561198076920450,188.87,100%,32
76561198068506034,259.8500000000001,0%,56
76561197986529825,935.4200000000004,0%,70
monkeyrj03,215.85,0%,29
76561198043457664,440.80000000000007,0%,37
frostynexus,278.87,0%,25
76561198078069058,218.83,0%,35
nicholasisbister,2583.7399999999952,60%,211
dbsgptjd966,478.72000000000014,0%,41
smurfdicking,4014.639999999971,67%,394
76561198086275581,1754.1900000000005,25%,127
76561198075631259,2272.5999999999995,20%,163
76561198090520544,144.92,0%,43
NickSack,3024.99999999999,100%,264
nicksatan,260.87,100%,22
76561198044382970,746.6100000000002,0%,53
76561198047697394,104.94,50%,16
76561198089649301,2280.689999999998,0%,187
76561198054265152,887.4700000000004,50%,111
76561198052411042,400.7400000000001,0%,39
76561198104834557,1092.4600000000005,100%,76
76561198094304449,272.8,31%,63
A_Gamer,1054.5100000000002,50%,77
Nightless490,1566.9100000000008,100%,192
76561198053201190,1573.8200000000008,100%,146
NightlyDawn,3299.049999999975,75%,358
Abyss_Blood_Alone,533.72,50%,104
76561198057282102,935.6200000000002,0%,61
Night_Magnus,1630.520000000001,0%,247
LittleNik,537.69,0%,41
Ninjaawesomefuntime,5371.999999999966,7%,378
69doggystyle,687.6200000000002,15%,100
MEZISPOTATO,501.72000000000014,0%,77
FagGamingM8,1891.4700000000007,83%,298
nimrod123,4796.109999999973,100%,359
76561198098624076,1290.010000000001,0%,175
wildninja111,122.94,87%,9
76561198083867078,232.83000000000007,21%,45
76561198076271594,183.87,57%,56
smuphiboio,531.7400000000001,29%,63
76561198073471080,538.6700000000002,0%,58
NinjaZStarz,894.5100000000003,100%,80
76561198156882880,98.93999999999998,0%,23
76561198053780872,836.5700000000002,100%,99
76561198045254790,194.92,0%,31
NippleFk,1207.3600000000004,100%,96
brownsticky,1712.9200000000008,0%,144
Pilotwezzz,1118.4500000000005,0%,110
76561198075262653,292.82000000000005,0%,33
NitekN,1377.1600000000003,0%,154
76561198072174851,1165.1900000000005,50%,128
nitr0ticwolf,377.7300000000001,74%,127
nitrorupe,1855.8500000000008,0%,147
nitr0ticwolf,377.7300000000001,75%,127
nitrorupe,1855.8500000000008,67%,147
76561197974288321,863.4800000000004,100%,70
76561197990911093,1144.4500000000005,0%,64
PyroProfile,1872.150000000001,25%,259
LIkefOrVER,134.90999999999997,0%,18
76561198051899879,521.7700000000001,100%,40
zandado,916.2800000000004,0%,107
TRune3,2203.4999999999995,12%,177
nomopro,99.92,0%,28
kuikim,414.80000000000007,100%,51
CCViBritannia,1901.0300000000009,0%,667
76561198011832401,2951.0399999999904,0%,301
76561198033713264,2219.9199999999987,100%,171
dexakatom,30.96,90%,5
sorenkbz,464.7500000000001,0%,68
Zeusthe1st,174.90000000000003,67%,26
76561198079526653,1534.9400000000005,17%,165
76561198087039124,706.3800000000003,0%,82
HailAmeixing,890.5600000000003,0%,69
TyRant_Ops,444.7300000000001,0%,45
76561198090194644,338.7700000000001,100%,51
76561198012741239,979.4700000000004,22%,74
Not_So_Drunk,2317.5699999999983,0%,187
notsurodovahbear,2002.7800000000009,0%,161
76561198001296435,8879.029999999922,43%,675
Noxinator,1945.8500000000008,100%,157
76561198095264510,162.92000000000004,0%,20
76561198090380197,480.7300000000001,0%,67
manaff,773.6100000000002,100%,112
76561198041562431,4596.0999999999785,0%,296
76561198055709958,409.8500000000001,100%,34
76561198071332808,1461.9000000000008,40%,156
76561197993725260,4084.60999999998,0%,292
76561198060900779,1013.3700000000003,14%,116
76561198065634162,379.7400000000002,63%,50
76561198067699234,306.89000000000004,0%,26
sporelife,852.8000000000004,0%,94
nuwandam8,1311.4700000000005,100%,74
pinkie10,494.6200000000002,100%,45
Nykun,344.89000000000004,90%,31
NyteWatcher,575.6800000000002,100%,79
76561198050498297,304.85,0%,31
76561198068689243,753.5300000000003,33%,58
SmithRamone,1208.3500000000004,60%,243
76561198037042375,89.93999999999998,56%,34
76561198057093397,668.5400000000002,0%,99
briggsy195,3504.109999999983,42%,279
76561198006152035,390.7500000000001,100%,37
76561198073347121,143.89,0%,28
pezz_yakent,509.7300000000001,100%,44
76561198081997185,139.89999999999998,0%,19
OdetteArt,212.87000000000003,100%,24
76561198212260863,34.97,0%,10
76561198017615981,411.6700000000002,30%,60
76561198076652961,479.7800000000001,0%,47
76561198086361252,108.87999999999998,0%,79
76561198121929660,547.7800000000001,0%,50
76561198243634570,119.98,0%,16
god-damn,739.5200000000003,50%,71
TheOi9k,1040.2900000000004,42%,103
76561198105269395,137.92,0%,26
76561198045604407,194.88000000000005,100%,26
epicrawrtime,962.4700000000004,0%,111
olbo,137.93,0%,20
76561198069839491,132.88,0%,31
76561198065040920,525.7900000000001,0%,37
oldmatebenny,3581.7499999999827,0%,292
swvzi,1239.3100000000004,33%,94
76561198071057875,1271.2700000000004,0%,113
olismeister,599.0500000000003,0%,103
76561198058414669,1816.8800000000008,0%,143
76561198016006736,1713.2700000000004,0%,102
76561198086511282,720.2800000000003,33%,237
76561198102107184,688.6300000000002,20%,74
OmniO_Overide,785.5700000000002,60%,91
76561198057391827,265.85,0%,26
omzo,2458.4799999999964,78%,222
76561198055688142,304.7800000000001,24%,30
ONIONZZZ,4628.489999999971,100%,384
SerPewpDaFird,163.82999999999998,50%,60
76561198043559223,1474.1600000000003,50%,106
youngwolf,4008.759999999973,17%,327
erenberry,603.6700000000002,50%,68
CF6A32,1433.2600000000004,0%,101
MeDragonNo,4412.059999999971,100%,382
OfamosoJOTACE,264.87000000000006,0%,71
76561198098346223,249.89,0%,52
gavinchee,690.5300000000003,33%,58
76561198051027753,1844.9500000000007,86%,113
ORKIE_PORKIE,319.90000000000003,67%,16
lp-orth,104.93999999999998,100%,14
JailsonMendesDeliciapdf,574.5900000000001,73%,65
TGU-Leader,1000.4800000000002,0%,97
76561198103362841,74.96,0%,17
76561198075582278,333.80000000000007,0%,48
76561198049216153,209.87,40%,29
76561198074219773,19.99,20%,8
GuiCreed368,2833.4799999999937,100%,212
TomSpinetti,2306.589999999999,20%,168
Opchilly,100.91,0%,9
76561198068439794,886.5400000000003,33%,83
76561198015673480,1171.4000000000003,62%,73
PootisPoot,458.7300000000001,100%,52
76561198062017158,232.7600000000001,50%,42
OzaurisYT,246.83000000000004,60%,39
76561198153446567,64.94999999999999,77%,11
roninerd,168.86999999999998,28%,71
PiozZ,10177.009999999837,41%,1184
76561198070090079,1359.1400000000006,0%,123
wowokaykthxbai,871.3400000000005,80%,82
Saygoodbyetoyourheadwanker,232.84000000000003,0%,35
KTP619,236.82000000000005,0%,70
herculesmorse,392.7900000000001,33%,35
76561198107406338,127.91999999999996,20%,35
76561198084622842,424.75000000000006,22%,57
76561198079248007,44.97,50%,21
76561198028482615,893.4700000000004,48%,69
paddymazz,1537.0900000000006,71%,122
76561198052466984,286.88000000000005,71%,16
76561198058473246,1522.1500000000003,100%,138
76561198107111601,67.95,100%,23
76561198066677472,261.84000000000003,85%,34
76561198018463795,1030.4700000000005,0%,70
76561198042670020,883.4900000000004,85%,71
Strider95,6353.989999999949,0%,523
76561198075607621,469.7500000000001,29%,65
Cressidont,3420.349999999987,22%,288
76561197996458179,951.3200000000004,0%,90
Dm_Dude,331.7600000000001,80%,43
davidjgriffith,3391.069999999989,0%,248
PandaCorn666,695.5600000000003,33%,131
mebehayden,1980.8500000000008,67%,151
Panx2,74.96,0%,19
76561198057471883,787.4700000000004,0%,104
76561198069603865,304.89000000000004,0%,29
FireArmPlays,584.5300000000003,0%,116
homer1234,1424.1700000000003,0%,114
76561198079333493,662.6800000000002,61%,53
76561198061757134,963.4500000000004,67%,97
76561198053860761,690.5400000000003,50%,66
76561198121840547,1131.9700000000007,0%,160
76561198059639562,523.6500000000002,0%,69
pariera,214.91000000000005,0%,14
parkwiz,468.8200000000001,85%,43
76561197970724420,8710.369999999932,100%,688
PartyHearty,1904.8900000000008,50%,137
Fuffy,44.97,0%,18
76561198060388536,422.54000000000025,83%,106
76561198040961676,794.7000000000002,0%,48
76561197960366346,630.5500000000002,0%,63
76561198097071063,533.6800000000002,0%,73
zenrosmc,700.6800000000002,0%,69
Thekiller4000,946.3600000000004,0%,125
Greendove,4083.679999999976,100%,349
Mediev,1898.520000000001,0%,1018
76561198070152728,950.5200000000004,18%,84
76561198154315347,858.4800000000004,66%,89
King_Walrus,1174.4400000000005,0%,120
76561198091703171,1028.4600000000005,42%,79
76561198061529852,67.79,0%,43
76561198086160648,1204.2900000000004,100%,114
dunnowhy54,69.96,100%,10
Pedacker,1922.710000000001,67%,235
TheInfamousPedobear,112.93,100%,45
76561198093337643,49.96,0%,15
76561198050502764,129.90999999999997,50%,25
pedrocarrasco,742.6100000000002,0%,85
kruger287,1615.1800000000003,22%,155
76561198051454214,778.5100000000003,13%,70
Pelsworth,681.5800000000003,0%,69
penetrator500,470.77,50%,38
p3niath,14.99,0%,1
PenguinKnightPE,1733.1000000000006,0%,303
76561198006494735,961.5300000000004,100%,94
76561198075913639,86.93999999999998,100%,7
76561198064343153,3711.98999999998,50%,286
76561198085412009,452.6900000000001,0%,46
UncleTobsy,3263.4999999999845,84%,322
tihoyzaza,396.75000000000006,50%,107
76561198077895731,1055.3300000000004,67%,102
76561198083347489,935.5900000000004,0%,75
76561198083347489,935.5900000000004,0%,75
76561198095444964,744.6100000000002,25%,90
76561198031074947,174.91,0%,28
76561198076018776,142.85,100%,50
SU_Lapis,99.96,0%,12
76561198083163016,44.96,0%,8
sisgeo,648.5600000000003,36%,89
PerturbedKoala,1314.4100000000003,0%,91
76561198064153587,879.6300000000001,7%,58
Karetchi,4859.339999999974,0%,325
76561198068217106,589.6900000000002,100%,51
gazbby,1277.270000000001,100%,195
PetGamer,840.4300000000004,0%,79
Rohan146,1716.0300000000009,75%,139
egggudetama,97.92999999999998,0%,19
exaqt,2758.469999999996,0%,209
76561198067777635,983.3900000000004,0%,81
pexegay,880.4900000000002,46%,67
pf12351,1366.2300000000005,67%,122
10051997,1249.1700000000003,100%,130
bigdicmatt,1720.1300000000006,52%,118
5975,2892.279999999992,0%,241
76561198076437311,1569.1400000000006,0%,146
fatpeter420,314.86,100%,31
76561198085759352,445.71000000000015,50%,117
76561198077351278,773.6000000000001,0%,133
76561198064306106,375.7600000000001,0%,42
76561198077111628,995.3500000000004,0%,93
phatphal,1284.1500000000003,49%,100
ItzJimmeh,368.7000000000001,100%,78
phillip-97,0.0,50%,4
76561198085092904,1130.4300000000003,67%,80
lPH03N1Xl,930.5900000000004,100%,65
76561198100275071,76.95,0%,10
76561198045459907,1231.3100000000004,100%,129
76561198094678131,671.5500000000003,100%,82
phoucdat,344.82000000000005,0%,35
phrostb,51816.54999999656,33%,7762
76561198038999199,564.5900000000001,35%,51
76561198006643168,329.84000000000003,67%,24
Phyztastic,354.7500000000001,50%,99
BusTurBrown,730.6000000000001,0%,48
76561197979086508,2477.529999999996,47%,177
76561198086765572,1001.4500000000004,33%,75
76561198009348244,1219.2900000000004,0%,90
76561198064436502,1208.4200000000003,0%,102
76561197978096694,564.71,0%,45
PigdogGetSome,733.6000000000001,0%,106
Ppkdoevil,818.5000000000003,100%,102
Ppkdoevil,818.5000000000003,100%,102
PigOrganSoup,943.4600000000004,100%,76
PikachuBruh,691.6500000000002,39%,67
GandalfsMagicwand,169.91,0%,28
76561197971799489,718.6600000000001,68%,37
UZS,1456.5500000000006,69%,161
minecraftdude1111,2063.5300000000007,68%,192
76561198083176167,690.3300000000003,48%,105
SomeGuySurviving,914.3200000000004,100%,97
34573671264yi,639.5600000000002,67%,92
PinkPyroGames,3047.069999999981,62%,310
76561198007390829,1615.2200000000005,0%,102
76561198076733079,740.5300000000003,0%,63
76561198073044894,380.7000000000002,100%,64
pirateness,525.7600000000001,100%,38
76561198081666970,318.7800000000001,0%,46
76561197967794920,431.7100000000001,81%,36
Pixelqt,2568.599999999996,100%,208
pixeltom,2065.4500000000007,0%,193
SamuelRowe,1062.3700000000003,40%,91
pixel_squid,1473.1600000000003,0%,117
76561198106040785,0.0,30%,13
76561198074859132,119.90999999999998,25%,38
76561198087480152,601.7200000000001,25%,78
76561198052913101,350.7400000000001,9%,61
pizzahutmanager,466.6200000000002,0%,74
76561198083439397,213.88000000000005,100%,39
hwarm,1913.770000000001,17%,191
76561198048812679,20.98,46%,5
76561198054554066,50.96,0%,63
76561198118129824,681.6400000000002,50%,182
plazt,567.6600000000001,0%,56
76561198056121488,356.7900000000001,0%,35
76561198092203106,201.85,33%,40
Splifz,328.79,0%,32
76561198066511757,1499.2100000000005,100%,117
Pobody,951.4300000000004,0%,75
Podzoz,1197.2800000000004,100%,116
poitato,783.5900000000005,69%,131
notthesemuffins,1328.2300000000005,100%,113
76561198062684512,1126.4900000000002,69%,121
PlayerEdu06,337.8,100%,29
fluronufnuf,182.91,0%,36
76561198002151678,1630.9200000000008,33%,135
76561198072105288,382.86000000000007,57%,51
76561198156338640,117.91,0%,48
typicleownsthis1,159.97,46%,16
xXLeoXx,134.90999999999997,0%,22
76561198094032017,44.96,0%,20
76561198030382508,664.6300000000002,92%,44
VoltEyes,87.93999999999998,53%,29
PorthosTheMan,367.7700000000001,100%,41
76561198089541911,306.7900000000001,62%,51
76561198093935386,527.6200000000001,100%,69
IJustRapedYourPotatoes,1109.4500000000005,43%,77
76561198046981980,1068.1400000000006,62%,109
ultracraftier,782.5200000000003,100%,76
CJS1337s,1176.3600000000004,0%,89
preavus,6767.759999999944,0%,600
Kiora21,1137.3900000000003,20%,80
76561198257410650,204.87000000000003,33%,21
76561198084997039,232.82000000000005,0%,56
76561198066636734,998.2900000000004,62%,153
76561198102977568,1460.5800000000004,81%,108
TheMightyWharu,1101.2500000000005,0%,123
primalred,275.86,0%,23
primalcrescent,15142.55999999964,100%,2157
BasqueOG,3026.9999999999905,100%,352
76561198059303259,198.86,0%,20
76561198052412858,1524.3700000000003,52%,92
getYOUiWILL,3198.039999999988,0%,288
76561198002872696,373.7600000000001,0%,46
76561198031310041,4571.049999999977,0%,312
ProLove,169.89,100%,29
nerohellgate,842.4400000000004,67%,113
perverthentai,543.68,0%,167
sakataalan,1344.9600000000007,0%,178
76561198065265998,607.7000000000002,0%,48
76561198051318970,1182.2900000000004,83%,101
76561198012715042,808.5500000000003,29%,115
76561198048641355,54.98,0%,4
76561198014987915,925.4900000000004,100%,76
painful741,710.6100000000002,0%,76
76561198049564546,339.80000000000007,56%,36
Hot2DGrill,369.21000000000015,0%,60
76561198063159016,2376.6999999999985,25%,212
76561198073920212,522.6400000000002,0%,53
murdadar,2315.3899999999994,38%,234
76561198083973618,468.1800000000002,0%,124
Godlysimmonds,349.8200000000001,100%,49
76561198023733249,1337.0800000000006,75%,120
76561198042491372,1632.9100000000008,75%,141
76561198081203054,196.86000000000004,0%,53
76561198064768752,1973.000000000001,100%,186
uskie,2556.4799999999964,0%,187
Purple_Purgatory,1602.9500000000007,0%,172
76561198083565647,282.90000000000003,80%,20
76561198089804558,19.99,43%,4
76561198056156998,3597.3199999999915,67%,212
76561198100587565,94.94,0%,9
76561198075744490,84.97,100%,35
76561198056567053,719.6700000000002,100%,81
pixelism,1688.0800000000006,100%,124
76561197986613952,351.82000000000005,100%,29
Pyro_Lizard,1061.3900000000003,0%,108
Pystar,526.7300000000001,100%,55
unlivingroy,2173.03,0%,193
76561198031414507,811.9400000000003,100%,72
76561198009607326,765.4100000000003,90%,78
donaldqinshihunagditrump,726.5900000000003,100%,77
soulrainz,104.93999999999998,29%,14
SSchubert,1830.610000000001,73%,185
Quarterback31619,401.83,0%,21
76561198029178874,500.66000000000014,0%,42
Kane007,336.83000000000004,0%,38
iamquik,369.7800000000001,100%,36
76561198053663281,1104.4100000000003,100%,102
76561198084748670,1046.2700000000004,0%,178
ShotgunTheUnicorn,227.8300000000001,0%,65
76561198080702728,4035.949999999967,100%,356
alexli2008,529.6400000000001,0%,45
76561198058107016,1374.2900000000004,12%,126
RforRice,299.87000000000006,40%,24
76561198131822248,1702.1900000000005,0%,117
76561198211691884,547.7500000000001,50%,45
mufkin,449.7400000000001,50%,39
Rabwick,341.80000000000007,0%,62
76561198030902728,219.88,100%,17
RoastedMemesRoastedDreams,851.4000000000004,100%,128
76561197970132164,2060.750000000001,80%,151
RadioactiveWarlord,863.4100000000003,0%,100
raelwhiteout,393.7900000000001,82%,36
76561198074053059,530.69,26%,40
76561198061909456,59.95,0%,21
mopoops,627.5100000000002,75%,103
AURLNAME,1965.8900000000008,100%,148
76561198072177030,593.6200000000002,88%,117
Silentfantasia,420.21000000000015,75%,98
76561198058520509,39.97,62%,12
76561198043568107,810.5000000000003,0%,73
76561198092559224,166.93,0%,16
ralli101,8714.309999999916,9%,662
dizioboy,4676.059999999959,100%,460
plasmount,514.6600000000001,82%,84
76561198052106915,538.7300000000001,0%,52
76561198070320652,44.98,0%,2
Someguywhomakesstoof,880.4700000000003,100%,66
prettygoodXD,87.94,0%,54
kukkai_kfz,1050.3500000000004,0%,117
1343534566,227.85,0%,23
76561198018100339,507.7800000000001,9%,54
76561198024531364,6584.049999999953,0%,497
76561198047200774,1054.4800000000002,0%,88
76561198036183927,1104.2100000000005,0%,101
raviyn,552.6900000000002,0%,44
Dyllz,2837.3499999999926,0%,222
ravenmusicaus,835.4800000000004,0%,71
Ravironio,3205.2199999999616,0%,550
76561197976198745,2775.6199999999944,100%,239
rawrvixen,27754.950000002304,40%,4212
Rawrimaviking,7164.279999999927,0%,603
76561198016740850,2560.609999999998,100%,189
76561198083879520,164.9,93%,18
76561198086194990,59.96,53%,17
76561197985247422,1475.6300000000006,100%,104
76561198075257303,379.7700000000001,0%,39
76561198093077177,578.74,29%,46
76561197981203305,15720.619999999766,0%,1525
76561198031577478,1736.9600000000007,80%,155
recklesspug,768.6600000000002,0%,64
76561198059867666,41.97,60%,10
76561197994893374,122.87,33%,21
kmcca138,1015.5000000000005,0%,82
76561198151925003,550.7600000000001,0%,45
76561198057594218,2103.8700000000003,0%,152
76561198075983645,1358.1200000000006,59%,141
76561198094936736,1512.4600000000007,46%,124
76561198046627548,859.5100000000003,50%,97
Redoxide,3153.1699999999905,67%,214
76561198062732040,179.88,24%,27
76561198020059627,1042.4800000000002,0%,75
RED_PRIDE,1692.3200000000008,0%,159
76561198050449579,1286.2100000000005,0%,133
76561198102828441,0.0,0%,9
76561198277039934,308.86,0%,18
76561198033536322,1066.4300000000003,0%,67
76561198079360822,169.91,57%,28
danielfang2010,617.6900000000002,0%,51
R4iNy,1460.0400000000006,0%,160
76561198012040171,4960.189999999962,100%,413
76561198048639473,299.80000000000007,0%,34
76561198043802507,2811.2199999999943,0%,209
Renegaderade,1802.1100000000008,0%,135
76561198043254905,843.5000000000003,0%,72
76561198070071006,326.19000000000017,0%,57
76561198107946315,366.80000000000007,0%,42
res1n_wins,2817.449999999993,70%,194
reservegoalie,4017.979999999972,0%,374
76561198271691313,197.90000000000003,100%,20
76561198035721155,791.5400000000003,0%,90
promauro,14.99,100%,14
76561198044557792,224.84000000000003,0%,34
tejangeailan,34.97,58%,16
Revolver_,1177.2400000000005,0%,120
76561198056527936,2641.4299999999944,0%,213
revolverace,2665.179999999993,0%,212
76561198011139135,1631.0600000000006,0%,122
76561198052901985,334.7600000000001,100%,46
JimmyNickson,285.81,100%,25
de_reyals,1645.690000000001,63%,164
rf4burns,1208.4000000000003,33%,102
Matoota,609.5700000000002,0%,73
76561198071161952,439.83,50%,32
76561198029331271,1738.0300000000009,0%,126
theryanator,4139.549999999979,0%,292
rhysdog,1005.2500000000005,0%,101
513659145,95.95,0%,8
Carlin54,3759.1199999999726,0%,367
RHdabest,840.4900000000004,83%,82
RickFortune,749.5400000000003,91%,64
76561198088143921,734.5600000000003,100%,151
pizzaman12,1421.1300000000006,0%,143
76561198060295827,64.93,0%,31
Melancholyaesthetics,1255.3800000000003,82%,83
76561198029317683,494.7500000000001,100%,44
rigormortis7,451.65000000000015,74%,44
